City,Pop,Exc,Pub,ExPu,PopH,Bed,BedP,Spe,SpeP,Int,IntP,Amb,AmbP
Adana,"2,237,940",16,14,30,74598,7033,31.4,4119,18.4,1391,6.2,85,38.0
Adıyaman,"626,465",2,10,12,52205,1304,20.8,907,14.5,244,3.9,44,70.2
Afyonkarahisar,"729,483",3,18,21,34737,2185,30,1607,22,237,3.2,60,82.3
Ağrı,"536,199",2,8,10,53620,878,16.4,714,13.3,77,1.4,45,83.9
Aksaray,"416,367",3,7,10,41637,797,19.1,531,12.8,142,3.4,38,91.3
Amasya,"337,800",1,7,8,42225,835,24.7,554,16.4,78,2.3,32,94.7
Ankara,"5,639,076",38,40,78,72296,18291,32.4,8831,15.7,2591,4.6,226,40.1
Antalya,"2,511,700",29,16,45,55816,7172,28.6,4937,19.7,1161,4.6,86,34.2
Ardahan,"97,319",0,3,3,32440,200,20.6,181,18.6,19,2,35,359.6
Artvin,"170,875",0,8,8,21359,346,20.2,271,15.9,31,1.8,43,251.6
Aydın,"1,110,972",7,15,22,50499,3147,28.3,1818,16.4,495,4.5,64,57.6
Balıkesir,"1,228,620",4,20,24,51193,3334,27.1,2351,19.1,458,3.7,71,57.8
Bartın,"198,249",0,3,3,66083,432,21.8,148,7.5,51,2.6,27,136.2
Batman,"608,659",5,6,11,55333,1300,21.4,730,12,403,6.6,37,60.8
Bayburt,"84,843",0,1,1,84843,200,23.6,134,15.8,23,2.7,25,294.7
Bilecik,"219,427",0,8,8,27428,335,15.3,108,4.9,44,2,33,150.4
Bingöl,"279,812",1,7,8,34977,690,24.7,471,16.8,55,2,36,128.7
Bitlis,"348,115",1,7,8,43514,959,27.5,574,16.5,104,3,36,103.4
Bolu,"316,126",2,9,11,28739,1448,45.8,999,31.6,155,4.9,43,136.0
Burdur,"270,796",1,7,8,33850,758,28,537,19.8,78,2.9,34,125.6
Bursa,"3,056,120",19,21,40,76403,7361,24.1,4512,14.8,1184,3.9,104,34.0
Çanakkale,"542,157",2,11,13,41704,1660,30.6,1281,23.6,178,3.3,46,84.8
Çankırı,"195,789",1,8,9,21754,465,23.8,359,18.3,36,1.8,40,204.3
Çorum,"530,864",2,14,16,33179,1662,31.3,1233,23.2,245,4.6,56,105.5
Denizli,"1,037,208",10,13,23,45096,3229,31.1,1819,17.5,514,5,62,59.8
Diyarbakır,"1,756,353",8,18,26,67552,4629,26.4,2026,11.5,947,5.4,99,56.4
Düzce,"392,166",1,6,7,56024,793,20.2,540,13.8,94,2.4,31,79.0
Edirne,"413,903",3,7,10,41390,1936,46.8,1040,25.1,216,5.2,48,116.0
Elâzığ,"591,098",3,7,10,59110,2991,50.6,1799,30.4,436,7.4,53,89.7
Erzincan,"234,747",1,9,10,23475,540,23,316,13.5,54,2.3,54,230.0
Erzurum,"762,062",1,21,22,34639,3623,47.5,2297,30.1,417,5.5,77,101.0
Eskişehir,"887,475",5,9,14,63391,3547,40,2654,29.9,471,5.3,49,55.2
Gaziantep,"2,069,364",19,9,28,73906,6015,29.1,2835,13.7,1420,6.9,75,36.2
Giresun,"448,400",2,15,17,26376,1575,35.1,1049,23.4,230,5.1,52,116.0
Gümüşhane,"164,521",0,6,6,27420,327,19.9,175,10.6,28,1.7,36,218.8
Hakkâri,"280,991",0,4,4,70248,393,14,335,11.9,47,1.7,40,142.4
Hatay,"1,628,894",13,11,24,67871,4189,25.7,2628,16.1,850,5.2,89,54.6
Iğdır,"199,442",0,3,3,66481,313,15.7,249,12.5,36,1.8,31,155.4
Isparta,"444,914",4,10,14,31780,2022,45.4,1340,30.1,427,9.6,47,105.6
İstanbul,"15,519,267",167,53,220,70542,39328,25.3,22278,14.4,7280,4.7,465,30.0
İzmir,"4,367,251",26,28,54,80875,11982,27.4,6092,13.9,1780,4.1,145,33.2
Kahramanmaraş,"1,154,102",8,10,18,64117,2945,25.5,1767,15.3,725,6.3,73,63.3
Karabük,"248,458",1,4,5,49692,716,28.8,558,22.5,114,4.6,33,132.8
Karaman,"253,279",2,4,6,42213,598,23.6,511,20.2,87,3.4,34,134.2
Kars,"285,410",0,7,7,40773,738,25.9,533,18.7,98,3.4,37,129.6
Kastamonu,"379,405",2,16,18,21078,1100,29,655,17.3,116,3.1,53,139.7
Kayseri,"1,407,409",12,14,26,54131,4573,32.5,2837,20.2,832,5.9,74,52.6
Kilis,"142,490",1,2,3,47497,321,22.5,259,18.2,48,3.4,54,379.0
Kırıkkale,"283,017",1,5,6,47170,1254,44.3,681,24.1,148,5.2,39,137.8
Kırklareli,"361,836",4,5,9,40204,907,25.1,581,16.1,145,4,40,110.5
Kırşehir,"242,938",1,4,5,48588,472,19.4,406,16.7,66,2.7,31,127.6
Kocaeli,"1,953,035",17,10,27,72335,4330,22.2,2768,14.2,879,4.5,69,35.3
Konya,"2,232,374",13,29,42,53152,7527,33.7,4457,20,1159,5.2,98,43.9
Kütahya,"579,257",2,10,12,48271,1886,32.6,1206,20.8,200,3.5,43,74.2
Malatya,"800,165",7,9,16,50010,2961,37,1747,21.8,559,7,72,90.0
Manisa,"1,440,611",9,18,27,53356,4580,31.8,3090,21.4,633,4.4,71,49.3
Mardin,"838,778",3,9,12,69898,1446,17.2,951,11.3,298,3.6,41,48.9
Mersin,"1,840,425",15,11,26,70786,4760,25.9,3316,18,911,4.9,86,46.7
Muğla,"983,142",11,11,22,44688,2040,20.7,1391,14.1,251,2.6,76,77.3
Muş,"408,809",1,6,7,58401,737,18,581,14.2,96,2.3,38,93.0
Nevşehir,"303,010",2,8,10,30301,697,23,597,19.7,100,3.3,32,105.6
Niğde,"362,861",1,7,8,45358,888,24.5,594,16.4,120,3.3,41,113.0
Ordu,"754,198",5,12,17,44365,2144,28.4,1244,16.5,292,3.9,58,76.9
Osmaniye,"538,759",6,4,10,53876,1295,24,695,12.9,301,5.6,43,79.8
Rize,"343,212",1,10,11,31201,1109,32.3,861,25.1,100,2.9,44,128.2
Sakarya,"1,028,500",6,13,19,54132,1932,18.8,1485,14.4,309,3,50,48.6
Samsun,"1,348,542",9,16,25,53942,4624,34.3,2809,20.8,772,5.7,64,47.5
Şanlıurfa,"2,073,614",6,13,19,109138,4037,19.5,2084,10.1,986,4.8,90,43.4
Siirt,"330,280",3,6,9,36698,858,26,673,20.4,112,3.4,40,121.1
Sinop,"218,243",0,7,7,31178,535,24.5,337,15.4,64,2.9,35,160.4
Şırnak,"529,615",0,7,7,75659,631,11.9,458,8.6,68,1.3,50,94.4
Sivas,"638,956",2,17,19,33629,2613,40.9,1236,19.3,342,5.4,72,112.7
Tekirdağ,"1,055,412",7,10,17,62083,2668,25.3,1680,15.9,500,4.7,53,50.2
Tokat,"612,747",1,13,14,43768,2199,35.9,1658,27.1,248,4,58,94.7
TR_average,"1,026,591",7,11,18,49707,2863,27.9,1721,16.8,470,4.6,61,59.4
Trabzon,"808,974",3,17,20,40449,3247,40.1,1908,23.6,380,4.7,56,69.2
Tunceli,"84,660",0,6,6,14110,150,17.7,132,15.6,18,2.1,31,366.2
Uşak,"370,509",2,6,8,46314,1235,33.3,820,22.1,147,4,42,113.4
Van,"1,136,757",3,9,12,94730,2887,25.4,2075,18.3,570,5,73,64.2
Yalova,"270,976",5,4,9,30108,568,21,329,12.1,149,5.5,22,81.2
Yozgat,"421,200",1,14,15,28080,1286,30.5,1068,25.4,123,2.9,56,133.0
Zonguldak,"596,053",3,8,11,54187,2195,36.8,986,16.5,305,5.1,39,65.4
